P0,P1,P2,func0,func1,func2,func3,func4
-35.0,-15.0,-35.0,0.463848263025,0.227860897779,0.437128216028,0.367125540972,0.431066036224
-35.0,-15.0,-30.0,0.438877016306,0.188717186451,0.391395539045,0.329019069672,0.396853893995
-35.0,-15.0,-25.0,0.44004714489,0.188631415367,0.396202296019,0.329707354307,0.398805379868
-35.0,-15.0,-20.0,0.466700017452,0.194781988859,0.433204144239,0.34543928504,0.424898296595
-35.0,-15.0,-15.0,0.46570828557,0.182826578617,0.460326194763,0.338347017765,0.428710371256
-35.0,-15.0,-10.0,0.470876991749,0.187896579504,0.458687841892,0.343609452248,0.432363808155
-35.0,-15.0,-5.0,0.469865590334,0.167693048716,0.461554348469,0.32820263505,0.427639722824
-35.0,-10.0,-35.0,0.499689549208,0.270022571087,0.478299677372,0.409228235483,0.470182597637
-35.0,-5.0,-35.0,0.480654060841,0.226390719414,0.452398568392,0.373070150614,0.444369494915
-35.0,-10.0,-30.0,0.459727555513,0.210191860795,0.433512032032,0.353813141584,0.42432051897
-35.0,-10.0,-25.0,0.459220170975,0.209969356656,0.417243570089,0.352265864611,0.419590383768
-35.0,-5.0,-30.0,0.450478106737,0.192983970046,0.407100379467,0.336978822947,0.408472537994
-35.0,-5.0,-25.0,0.46070098877,0.218160569668,0.410332381725,0.357659190893,0.420107901096
-35.0,-10.0,-20.0,0.493331819773,0.227025330067,0.459927707911,0.378322541714,0.45363599062
-35.0,-10.0,-15.0,0.477635324001,0.221920177341,0.4237601161,0.36690184474,0.433975994587
-35.0,-5.0,-20.0,0.463939368725,0.221037477255,0.403782814741,0.360111862421,0.420607417822
-35.0,-5.0,-15.0,0.461023896933,0.231620371342,0.409801661968,0.366396456957,0.422661751509
-35.0,-10.0,-10.0,0.442070692778,0.186877906322,0.401274383068,0.329517036676,0.400936573744
-35.0,-10.0,-5.0,0.461363583803,0.190143033862,0.43838724494,0.340780317783,0.422284126282
-35.0,-5.0,-10.0,0.435430198908,0.196629419923,0.368675589561,0.331513047218,0.390162497759
-35.0,-5.0,-5.0,0.462245345116,0.202852427959,0.41459736228,0.348235815763,0.419093817472
-30.0,-15.0,-35.0,0.46509501338,0.196241796017,0.418306440115,0.34485322237,0.420293837786
-25.0,-15.0,-35.0,0.472512185574,0.199818268418,0.433572471142,0.350901603699,0.429307311773
-30.0,-15.0,-30.0,0.442377030849,0.176361039281,0.386333405972,0.320958524942,0.394683599472
-30.0,-15.0,-25.0,0.453302502632,0.194263741374,0.395014405251,0.337866723537,0.406943053007
-25.0,-15.0,-30.0,0.45927709341,0.191096246243,0.4027094841,0.338168174028,0.411688297987
-25.0,-15.0,-25.0,0.447588354349,0.182632043958,0.414729654789,0.329259544611,0.406691640615
-30.0,-15.0,-20.0,0.47606113553,0.1835603863,0.446903824806,0.341237396002,0.431170493364
-30.0,-15.0,-15.0,0.457103669643,0.174137324095,0.469224214554,0.329704612494,0.424017429352
-25.0,-15.0,-20.0,0.457502961159,0.185495361686,0.443714648485,0.336558043957,0.420472770929
-25.0,-15.0,-15.0,0.43861207366,0.152064293623,0.461872011423,0.306287914515,0.406165629625
-30.0,-15.0,-10.0,0.455027252436,0.161203786731,0.469000101089,0.319033771753,0.419537782669
-30.0,-15.0,-5.0,0.421868979931,0.124882251024,0.437432140112,0.276947170496,0.383191347122
-25.0,-15.0,-10.0,0.474619626999,0.171433106065,0.493060559034,0.334571361542,0.439056187868
-25.0,-15.0,-5.0,0.455628484488,0.147888183594,0.470920562744,0.308511644602,0.416735231876
-30.0,-10.0,-35.0,0.507284343243,0.23216804862,0.470128268003,0.387172877789,0.465217500925
-30.0,-5.0,-35.0,0.464982122183,0.196062669158,0.43051558733,0.345593452454,0.423503220081
-25.0,-10.0,-35.0,0.469536364079,0.192924067378,0.428105920553,0.34465739131,0.424687355757
-25.0,-5.0,-35.0,0.493112802505,0.222965121269,0.445971935987,0.37447822094,0.448907285929
-30.0,-10.0,-30.0,0.458028107882,0.18571190536,0.432792186737,0.336121290922,0.417964994907
-30.0,-10.0,-25.0,0.463632702827,0.201108515263,0.407652407885,0.346956074238,0.417568922043
-30.0,-5.0,-30.0,0.455591261387,0.191326141357,0.400750666857,0.336993932724,0.40917751193
-30.0,-5.0,-25.0,0.459866642952,0.211115628481,0.393840402365,0.351401746273,0.41361567378
-25.0,-10.0,-30.0,0.447088062763,0.182887420058,0.39424353838,0.327769935131,0.400894343853
-25.0,-10.0,-25.0,0.437038570642,0.192775681615,0.377323269844,0.330123335123,0.392741978168
-25.0,-5.0,-30.0,0.46299636364,0.206044077873,0.391358911991,0.348831474781,0.413605690002
-25.0,-5.0,-25.0,0.433211624622,0.187358319759,0.381852567196,0.325483411551,0.390801459551
-30.0,-10.0,-20.0,0.459986954927,0.208627521992,0.424282371998,0.352154701948,0.421667248011
-30.0,-10.0,-15.0,0.452257305384,0.199777781963,0.441197633743,0.344774872065,0.419986158609
-30.0,-5.0,-20.0,0.454352796078,0.222352087498,0.411149084568,0.358281493187,0.417592316866
-30.0,-5.0,-15.0,0.461047917604,0.222727909684,0.411208897829,0.360824197531,0.421417504549
-25.0,-10.0,-20.0,0.423255175352,0.172901839018,0.394126623869,0.312912046909,0.38553661108
-25.0,-10.0,-15.0,0.454409569502,0.190302953124,0.447757422924,0.339294940233,0.420851409435
-25.0,-5.0,-20.0,0.44321963191,0.223651111126,0.407143771648,0.354934602976,0.410471975803
-25.0,-5.0,-15.0,0.445608526468,0.213948994875,0.405002474785,0.349344968796,0.409406542778
-30.0,-10.0,-10.0,0.451064437628,0.177192300558,0.46260881424,0.32965913415,0.419700056314
-30.0,-10.0,-5.0,0.442699193954,0.16956281662,0.448365271091,0.320359140635,0.409611016512
-30.0,-5.0,-10.0,0.441247463226,0.179198503494,0.394519686699,0.323269665241,0.39696252346
-30.0,-5.0,-5.0,0.453343480825,0.19261905551,0.410428702831,0.337906777859,0.41088694334
-25.0,-10.0,-10.0,0.459962010384,0.177539497614,0.463303923607,0.332786947489,0.424980551004
-25.0,-10.0,-5.0,0.45532181859,0.175775378942,0.450145483017,0.329133778811,0.418639838696
-25.0,-5.0,-10.0,0.444306850433,0.182966515422,0.400521427393,0.327405065298,0.401115357876
-25.0,-5.0,-5.0,0.478633135557,0.210815116763,0.418760895729,0.359384059906,0.430906057358
-20.0,-15.0,-35.0,0.489425092936,0.213048502803,0.457709759474,0.367389142513,0.447994023561
-15.0,-15.0,-35.0,0.484768748283,0.213742077351,0.442734390497,0.365229576826,0.441514134407
-20.0,-15.0,-30.0,0.484044253826,0.221939355135,0.458454340696,0.37170445919,0.447008699179
-20.0,-15.0,-25.0,0.472035199404,0.21012955904,0.436868697405,0.358124285936,0.432099103928
-15.0,-15.0,-30.0,0.477890282869,0.218249514699,0.456115990877,0.3669937253,0.442178457975
-15.0,-15.0,-25.0,0.487268745899,0.213122755289,0.45733243227,0.366705536842,0.446705847979
-20.0,-15.0,-20.0,0.485644102097,0.201566755772,0.460020422935,0.358287423849,0.444028884172
-20.0,-15.0,-15.0,0.455850988626,0.169481381774,0.453152686357,0.324728965759,0.418169975281
-15.0,-15.0,-20.0,0.48254814744,0.205623477697,0.441230505705,0.358785271645,0.438172727823
-15.0,-15.0,-15.0,0.494034469128,0.202140167356,0.470270514488,0.362110614777,0.451518833637
-20.0,-15.0,-10.0,0.477742612362,0.171037331223,0.499978214502,0.335645020008,0.44238948822
-20.0,-15.0,-5.0,0.448782980442,0.139350160956,0.466976344585,0.299047529697,0.409521728754
-15.0,-15.0,-10.0,0.508954584599,0.190292045474,0.523983359337,0.361623853445,0.470688015223
-15.0,-15.0,-5.0,0.419952511787,0.121999874711,0.446706652641,0.274350583553,0.38342654705
-20.0,-10.0,-35.0,0.485182493925,0.198993384838,0.428484022617,0.354009896517,0.43470042944
-20.0,-5.0,-35.0,0.485082924366,0.211151480675,0.417511820793,0.36162173748,0.434148997068
-15.0,-10.0,-35.0,0.475562125444,0.220581755042,0.412623882294,0.364437639713,0.429435580969
-15.0,-5.0,-35.0,0.48731765151,0.230133697391,0.405912846327,0.374082714319,0.435768842697
-20.0,-10.0,-30.0,0.472743630409,0.210317030549,0.410476952791,0.356461554766,0.425244003534
-20.0,-10.0,-25.0,0.473409920931,0.234068542719,0.421784162521,0.373198509216,0.433387339115
-20.0,-5.0,-30.0,0.490299642086,0.224112093449,0.405224680901,0.371065676212,0.436031073332
-20.0,-5.0,-25.0,0.468978613615,0.216257378459,0.400415658951,0.358390241861,0.421495854855
-15.0,-10.0,-30.0,0.490810215473,0.237996608019,0.445077717304,0.383525162935,0.45031273365
-15.0,-10.0,-25.0,0.459925055504,0.216569170356,0.423379451036,0.35736656189,0.422965019941
-15.0,-5.0,-30.0,0.47322794795,0.22979542613,0.39368262887,0.368081688881,0.424431681633
-15.0,-5.0,-25.0,0.469625651836,0.223178863525,0.410834729671,0.364002585411,0.426156193018
-20.0,-10.0,-20.0,0.471823811531,0.207067608833,0.438923060894,0.356109946966,0.4318998456
-20.0,-10.0,-15.0,0.460321307182,0.205118939281,0.425753176212,0.349994719028,0.421536684036
-20.0,-5.0,-20.0,0.470686405897,0.222219437361,0.439339369535,0.365958720446,0.434434086084
-20.0,-5.0,-15.0,0.44486156106,0.204880326986,0.410964101553,0.343549638987,0.408846974373
-15.0,-10.0,-20.0,0.461976647377,0.202392891049,0.428542584181,0.348879426718,0.422646552324
-15.0,-10.0,-15.0,0.464322715998,0.199273884296,0.405843228102,0.345771104097,0.417058259249
-15.0,-5.0,-20.0,0.497291147709,0.22926646471,0.456864237785,0.380907684565,0.455467164516
-15.0,-5.0,-15.0,0.4628213346,0.195479676127,0.410236746073,0.342973470688,0.416658699512
-20.0,-10.0,-10.0,0.442374289036,0.167913004756,0.432605206966,0.317970424891,0.405055522919
-20.0,-10.0,-5.0,0.460321635008,0.171816706657,0.453292101622,0.327914059162,0.421274572611
-20.0,-5.0,-10.0,0.454137474298,0.197426304221,0.421889185905,0.34237191081,0.415449082851
-20.0,-5.0,-5.0,0.467435181141,0.205990448594,0.417306751013,0.352300465107,0.42335319519
-15.0,-10.0,-10.0,0.454995632172,0.176129579544,0.445434272289,0.328981101513,0.417342156172
-15.0,-10.0,-5.0,0.444472968578,0.151097908616,0.459413707256,0.307133466005,0.408606678247
-15.0,-5.0,-10.0,0.458782941103,0.209200412035,0.417039036751,0.351587444544,0.419137120247
-15.0,-5.0,-5.0,0.448033630848,0.185016289353,0.432572036982,0.332386225462,0.412174075842
-10.0,-15.0,-35.0,0.464285254478,0.198827013373,0.406407445669,0.345492213964,0.417102128267
-5.0,-15.0,-35.0,0.486602932215,0.216887295246,0.42860609293,0.366892486811,0.439275145531
-10.0,-15.0,-30.0,0.482414394617,0.236513733864,0.444882184267,0.379682809114,0.445273250341
-10.0,-15.0,-25.0,0.474291205406,0.207527294755,0.456874251366,0.358542263508,0.438133835793
-5.0,-15.0,-30.0,0.48694011569,0.226992994547,0.445323050022,0.37505248189,0.446097284555
-5.0,-15.0,-25.0,0.488716572523,0.213479042053,0.455769509077,0.367311686277,0.447170883417
-10.0,-15.0,-20.0,0.476977020502,0.216062247753,0.443792879581,0.364304900169,0.43793541193
-10.0,-15.0,-15.0,0.475346028805,0.199698776007,0.430867522955,0.351534157991,0.430113166571
-5.0,-15.0,-20.0,0.475537449121,0.201484024525,0.440012514591,0.353524178267,0.433075278997
-5.0,-15.0,-15.0,0.512435555458,0.233808845282,0.456934332848,0.388972699642,0.464796483517
-10.0,-15.0,-10.0,0.519002974033,0.223573789001,0.480835497379,0.385984092951,0.472853273153
-10.0,-15.0,-5.0,0.461525261402,0.175027057528,0.456569701433,0.330944597721,0.423558443785
-5.0,-15.0,-10.0,0.497005283833,0.211670055985,0.420861333609,0.366098195314,0.441687017679
-5.0,-15.0,-5.0,0.490900337696,0.213146686554,0.420086413622,0.365081816912,0.438458889723
-10.0,-10.0,-35.0,0.440206617117,0.199579447508,0.359869658947,0.334349423647,0.390764176846
-10.0,-5.0,-35.0,0.451459884644,0.225055411458,0.359090387821,0.354624003172,0.401377052069
-5.0,-10.0,-35.0,0.458596348763,0.200191631913,0.385288089514,0.342912346125,0.408279389143
-5.0,-5.0,-35.0,0.460513144732,0.215749382973,0.377214580774,0.353296160698,0.410017937422
-10.0,-10.0,-30.0,0.511079370975,0.258020699024,0.437588483095,0.402556061745,0.463145285845
-10.0,-10.0,-25.0,0.473627954721,0.21419326961,0.432009011507,0.361042201519,0.432495266199
-10.0,-5.0,-30.0,0.455755591393,0.231322467327,0.354455530643,0.359601289034,0.403377562761
-10.0,-5.0,-25.0,0.445374310017,0.205747634172,0.369098573923,0.340957045555,0.397487163544
-5.0,-10.0,-30.0,0.504262328148,0.239086657763,0.433205783367,0.387832731009,0.454635053873
-5.0,-10.0,-25.0,0.48969784379,0.201076954603,0.440064638853,0.357794165611,0.440810084343
-5.0,-5.0,-30.0,0.489401549101,0.235085472465,0.36919465661,0.374740928411,0.426657408476
-5.0,-5.0,-25.0,0.464431226254,0.217460080981,0.39434286952,0.357165664434,0.417490541935
-10.0,-10.0,-20.0,0.469538450241,0.218791499734,0.443309217691,0.363599956036,0.434178411961
-10.0,-10.0,-15.0,0.487006723881,0.215272396803,0.441760361195,0.366936743259,0.442804425955
-10.0,-5.0,-20.0,0.472127586603,0.207087874413,0.417248427868,0.354587703943,0.426146835089
-10.0,-5.0,-15.0,0.470101624727,0.212940812111,0.404989898205,0.35692179203,0.422766119242
-5.0,-10.0,-20.0,0.474825769663,0.215280234814,0.431967973709,0.362169802189,0.433369219303
-5.0,-10.0,-15.0,0.481752067804,0.224981233478,0.431227475405,0.370890557766,0.438934624195
-5.0,-5.0,-20.0,0.465640813112,0.211238160729,0.394205182791,0.35343208909,0.416900664568
-5.0,-5.0,-15.0,0.472469240427,0.235786765814,0.406640559435,0.372726202011,0.428881108761
-10.0,-10.0,-10.0,0.478000760078,0.196264401078,0.446901351213,0.35111707449,0.435141175985
-10.0,-10.0,-5.0,0.493913978338,0.201875150204,0.482816576958,0.362749367952,0.454645454884
-10.0,-5.0,-10.0,0.460483193398,0.21576488018,0.419300079346,0.356709867716,0.422004312277
-10.0,-5.0,-5.0,0.467454433441,0.202348724008,0.436988115311,0.351270616055,0.427954405546
-5.0,-10.0,-10.0,0.486938476562,0.208522796631,0.433158159256,0.361621588469,0.438997715712
-5.0,-10.0,-5.0,0.49723136425,0.221256420016,0.44795113802,0.374835938215,0.451385110617
-5.0,-5.0,-10.0,0.471374094486,0.222841307521,0.4234136343,0.365373015404,0.430584281683
-5.0,-5.0,-5.0,0.476693212986,0.217307493091,0.430219560862,0.364019095898,0.434333235025
-35.0,-15.0,0.0,0.471869289875,0.181476086378,0.441544085741,0.338002830744,0.426957309246
-35.0,-15.0,5.0,0.452160388231,0.179687052965,0.422043651342,0.329101979733,0.410504758358
-35.0,-15.0,10.0,0.453795611858,0.206388399005,0.409358412027,0.347437828779,0.413690298796
-35.0,-15.0,15.0,0.473801851273,0.220582902431,0.404911369085,0.363225579262,0.426267743111
-35.0,-15.0,20.0,0.454533398151,0.211155325174,0.365232914686,0.347255080938,0.402334749699
-35.0,-15.0,25.0,0.46062040329,0.232245519757,0.377148628235,0.363894313574,0.413088917732
-35.0,-15.0,30.0,0.526781916618,0.304401576519,0.43816074729,0.435842752457,0.479795604944
-35.0,-15.0,35.0,0.492161542177,0.307088047266,0.402760148048,0.421354144812,0.450274407864
-35.0,-10.0,0.0,0.469385415316,0.192332461476,0.430030077696,0.34432631731,0.424993276596
-35.0,-10.0,5.0,0.456107467413,0.180968299508,0.414281666279,0.33073413372,0.410891622305
-35.0,-5.0,0.0,0.469189226627,0.199492588639,0.399105042219,0.346971780062,0.417848974466
-35.0,-5.0,5.0,0.456747293472,0.187698379159,0.377575814724,0.332985252142,0.402434557676
-35.0,-10.0,10.0,0.427973121405,0.173906370997,0.369926601648,0.313348442316,0.381719201803
-35.0,-10.0,15.0,0.450978517532,0.202869236469,0.366117864847,0.340644866228,0.399078756571
-35.0,-5.0,10.0,0.442229092121,0.204227849841,0.373379975557,0.339253246784,0.396727591753
-35.0,-5.0,15.0,0.461976885796,0.242924779654,0.370694935322,0.370391398668,0.413741886616
-35.0,-10.0,20.0,0.451928734779,0.227506056428,0.370636343956,0.357351571321,0.405551403761
-35.0,-10.0,25.0,0.463896125555,0.263626396656,0.397984921932,0.385885030031,0.426374793053
-35.0,-5.0,20.0,0.461541444063,0.264803528786,0.374084353447,0.383550286293,0.418122261763
-35.0,-5.0,25.0,0.438533097506,0.289602994919,0.360890030861,0.387494385242,0.40495917201
-35.0,-10.0,30.0,0.476870000362,0.304243177176,0.404389768839,0.414198338985,0.441776007414
-35.0,-10.0,35.0,0.467157393694,0.309222251177,0.375531554222,0.410398304462,0.428247272968
-35.0,-5.0,30.0,0.423361182213,0.290869742632,0.350321292877,0.381221652031,0.393338561058
-35.0,-5.0,35.0,0.470452547073,0.30511111021,0.404143303633,0.412203341722,0.438197225332
-30.0,-15.0,0.0,0.446772038937,0.146416321397,0.434976249933,0.302467882633,0.402558684349
-30.0,-15.0,5.0,0.466217011213,0.199116036296,0.419220268726,0.347298532724,0.421774536371
-25.0,-15.0,0.0,0.44189491868,0.137074649334,0.45918828249,0.294635355473,0.403160899878
-25.0,-15.0,5.0,0.463122218847,0.183104306459,0.442070752382,0.336490750313,0.422633588314
-30.0,-15.0,10.0,0.45718434453,0.193548038602,0.421741038561,0.340647339821,0.416277945042
-30.0,-15.0,15.0,0.456152170897,0.199852228165,0.40555986762,0.343478947878,0.412613689899
-25.0,-15.0,10.0,0.461221694946,0.203308403492,0.418179273605,0.348484098911,0.41960555315
-25.0,-15.0,15.0,0.447022169828,0.196085855365,0.377905279398,0.335718363523,0.399028599262
-30.0,-15.0,20.0,0.44682970643,0.232154503465,0.380155801773,0.35930249095,0.406374514103
-30.0,-15.0,25.0,0.460292190313,0.271976083517,0.384557813406,0.388187587261,0.421713620424
-25.0,-15.0,20.0,0.448802053928,0.226757273078,0.38896548748,0.357365846634,0.409056633711
-25.0,-15.0,25.0,0.463633388281,0.269586205482,0.403936982155,0.389780580997,0.428914576769
-30.0,-15.0,30.0,0.481578588486,0.294348835945,0.400394976139,0.410142749548,0.441763162613
-30.0,-15.0,35.0,0.45606893301,0.30476719141,0.373343646526,0.403553754091,0.420743852854
-25.0,-15.0,30.0,0.454789310694,0.27980479598,0.393794357777,0.391407579184,0.42255166173
-25.0,-15.0,35.0,0.458334982395,0.290811777115,0.392911344767,0.398763179779,0.425935566425
-30.0,-10.0,0.0,0.456180840731,0.180194139481,0.435807198286,0.331714630127,0.416469573975
-30.0,-10.0,5.0,0.469662874937,0.189933121204,0.422974079847,0.342174977064,0.422701328993
-30.0,-5.0,0.0,0.470527559519,0.198675945401,0.397163629532,0.346680015326,0.417846828699
-30.0,-5.0,5.0,0.475041478872,0.216126024723,0.404894173145,0.36068162322,0.426071166992
-25.0,-10.0,0.0,0.442284107208,0.170020252466,0.43245318532,0.319521993399,0.405471771955
-25.0,-10.0,5.0,0.462127029896,0.189806461334,0.429073750973,0.340120077133,0.420166790485
-25.0,-5.0,0.0,0.47286465764,0.206983044744,0.421447813511,0.355080395937,0.427696853876
-25.0,-5.0,5.0,0.482076913118,0.22516694665,0.433888971806,0.371329754591,0.439888626337
-30.0,-10.0,10.0,0.459953308105,0.203510656953,0.399767190218,0.346781611443,0.413830667734
-30.0,-10.0,15.0,0.448905587196,0.208556696773,0.385300070047,0.345340967178,0.404659092426
-30.0,-5.0,10.0,0.456791847944,0.234679043293,0.385051161051,0.36477330327,0.413756221533
-30.0,-5.0,15.0,0.423416078091,0.229868397117,0.329835742712,0.34509241581,0.377956598997
-25.0,-10.0,10.0,0.479268968105,0.221552222967,0.414891064167,0.366499662399,0.432306289673
-25.0,-10.0,15.0,0.495191216469,0.250262856483,0.424820423126,0.391173154116,0.44929343462
-25.0,-5.0,10.0,0.471711456776,0.242728039622,0.390589296818,0.375435978174,0.425013035536
-25.0,-5.0,15.0,0.471111416817,0.267550945282,0.383099764585,0.389443874359,0.426580518484
-30.0,-10.0,20.0,0.441864699125,0.215047135949,0.369335502386,0.345863908529,0.397398501635
-30.0,-10.0,25.0,0.45307764411,0.284483790398,0.391028255224,0.393112868071,0.421470969915
-30.0,-5.0,20.0,0.438841789961,0.24068069458,0.359481453896,0.359831899405,0.397281229496
-30.0,-5.0,25.0,0.435234636068,0.277551352978,0.378236472607,0.381332874298,0.406563729048
-25.0,-10.0,20.0,0.480033874512,0.27172473073,0.415473610163,0.398008584976,0.441819518805
-25.0,-10.0,25.0,0.440360188484,0.27680554986,0.374833106995,0.382559239864,0.408355265856
-25.0,-5.0,20.0,0.453297406435,0.255157858133,0.390485972166,0.376404613256,0.416875809431
-25.0,-5.0,25.0,0.421282321215,0.266287326813,0.365111410618,0.368585377932,0.393122106791
-30.0,-10.0,30.0,0.466112911701,0.306000769138,0.410086005926,0.411564022303,0.437596321106
-30.0,-10.0,35.0,0.451264560223,0.298213154078,0.350334078074,0.395919024944,0.409956514835
-30.0,-5.0,30.0,0.414957225323,0.260413080454,0.351954013109,0.361698836088,0.384777724743
-30.0,-5.0,35.0,0.43061119318,0.281485378742,0.360636383295,0.380052924156,0.399274021387
-25.0,-10.0,30.0,0.448756575584,0.290351867676,0.401931196451,0.395670622587,0.423035472631
-25.0,-10.0,35.0,0.450808852911,0.301012098789,0.401045560837,0.402138054371,0.425489097834
-25.0,-5.0,30.0,0.411366611719,0.270576268435,0.367606669664,0.367340534925,0.388801157475
-25.0,-5.0,35.0,0.414106816053,0.275848060846,0.369807451963,0.371462345123,0.391767859459
-20.0,-15.0,0.0,0.405594080687,0.112412981689,0.438015371561,0.261047869921,0.3703379035
-20.0,-15.0,5.0,0.462754249573,0.191883578897,0.442296802998,0.34275072813,0.424471229315
-15.0,-15.0,0.0,0.434673041105,0.159845083952,0.426019012928,0.308957546949,0.397112250328
